trecho_inicio_m,trecho_fim_m,ganho_perda_s,acumulado_s,vel_minima_kph
0,100,0.0072,0.0111,312.2
100,200,0.0113,0.0224,320.2
200,300,-0.0142,0.0082,257.0
300,400,0.0322,0.0404,189.0
400,500,0.0263,0.0667,213.0
500,600,0.0087,0.0754,242.8
600,700,0.0095,0.0849,265.8
700,800,0.0011,0.0860,288.0
800,900,0.0072,0.0932,302.1
900,1000,-0.0586,0.0346,271.0
1000,1100,-0.0694,-0.0348,108.0
1100,1200,0.0788,0.0440,115.9
1200,1300,0.0231,0.0670,163.0
1300,1400,0.0155,0.0825,216.2
1400,1500,0.0099,0.0924,250.4
1500,1600,0.0053,0.0977,263.0
1600,1700,0.0054,0.1031,276.0
1700,1800,-0.0261,0.0769,285.0
1800,1900,-0.0381,0.0388,240.0
1900,2000,0.0029,0.0417,243.5
2000,2100,0.0047,0.0464,265.0
2100,2200,-0.0038,0.0427,280.0
2200,2300,0.0032,0.0459,289.9
2300,2400,0.0037,0.0496,295.0
2400,2500,0.0051,0.0547,302.0
2500,2600,0.0050,0.0597,305.6
2600,2700,0.0055,0.0651,314.0
2700,2800,0.0043,0.0695,320.2
2800,2900,0.0022,0.0717,324.5
2900,3000,0.0026,0.0743,325.0
3000,3100,0.0035,0.0778,326.0
3100,3200,-0.0040,0.0738,326.2
3200,3300,-0.0996,-0.0258,273.0
3300,3400,-0.0111,-0.0370,258.4
3400,3500,0.0166,-0.0204,256.5
3500,3600,0.0157,-0.0047,269.0
3600,3700,0.0093,0.0046,290.4
3700,3800,0.0041,0.0086,303.0
3800,3900,0.0026,0.0112,313.0
3900,4000,-0.0366,-0.0254,314.5
4000,4100,-0.1279,-0.1534,131.0
4100,4200,0.1299,-0.0235,122.0
4200,4300,0.0226,-0.0009,204.9
4300,4400,-0.0047,-0.0056,240.0
4400,4500,0.0091,0.0035,242.1
4500,4600,-0.0522,-0.0486,110.0
4600,4700,0.1159,0.0672,96.0
4700,4800,-0.0007,0.0666,176.0
4800,4900,0.0006,0.0672,217.0
4900,5000,0.0062,0.0734,256.7
5000,5100,0.0047,0.0781,280.0
5100,5200,0.0035,0.0816,298.0
5200,5300,0.0024,0.0840,308.8
